CensusTract,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01001020100,01,1,1,1,51,6,0.8908045977011494,0.7413793103448276,0.4942528735632184,1000.0,50.0,487.5463908045977,0.0,491.0065207107915,1000.0,10.0,64.78622988505747,0.0,206.77332721425464,1
01001020200,01,1,1,1,41,8,0.8674033149171271,0.6519337016574586,0.4530386740331492,1000.0,25.0,461.46132596685084,0.0,491.5367864004673,1000.0,3.0,41.24669613259668,0.0,145.99223941680916,1
01001020300,01,1,1,1,42,8,0.8561643835616438,0.7465753424657534,0.5273972602739726,1000.0,1000.0,534.5258082191781,0.0,493.46574489350417,1000.0,35.0,48.927945205479446,0.0,161.45416396632805,1
01001020400,01,1,1,1,91,6,0.7206896551724138,0.6724137931034483,0.6068965517241379,1000.0,1000.0,609.6696551724139,0.0,485.88118536594334,1000.0,35.0,39.460937931034486,0.0,115.69014219157808,1
01001020501,01,1,1,1,46,8,0.9353448275862069,0.7586206896551724,0.46120689655172414,1000.0,50.0,419.8146551724138,0.0,476.0884386637821,1000.0,10.0,77.79512068965518,0.0,234.92128049753197,1
01001020502,01,1,1,1,16,10,0.8085106382978723,0.6702127659574468,0.44680851063829785,1000.0,25.0,398.6808510638298,0.0,476.8767556292537,1000.0,3.5,69.77710638297872,0.0,222.47416250700414,1
01001020503,01,1,1,1,33,8,0.8428571428571429,0.7142857142857143,0.42142857142857143,1000.0,25.0,400.96785714285716,0.0,476.78954156421605,1000.0,4.5,25.3388,0.0,85.17972375974843,1
01001020600,01,1,1,1,63,7,0.8134715025906736,0.7202072538860104,0.49740932642487046,1000.0,50.0,499.8658445595855,0.0,493.8119176123602,1000.0,10.0,65.4539274611399,0.0,208.10664203643816,1
01001020700,01,1,1,1,100,6,0.8723404255319149,0.74822695035461,0.5283687943262412,1000.0,1000.0,517.3649361702128,0.0,490.6335625328205,1000.0,35.0,45.589574468085104,0.0,153.71609657559443,1
01001020801,01,1,1,1,116,7,0.9517543859649122,0.8289473684210527,0.6008771929824561,1000.0,1000.0,581.4473684210526,0.0,483.3698858606325,1000.0,35.0,127.80371929824561,0.0,307.14572827674505,1
01001020803,01,1,1,1,73,6,0.9308755760368663,0.7004608294930875,0.43317972350230416,1000.0,25.0,394.84455299539167,0.768,473.21959889579824,1000.0,5.0,207.61133640552993,0.256,395.0432456004286,1
01001020804,01,1,1,1,70,6,0.9150943396226415,0.8160377358490566,0.6320754716981132,1000.0,1000.0,617.3856981132076,0.0,478.36242600814853,1000.0,35.0,170.3270754716981,0.0,351.0810828657851,1
01001020805,01,1,1,1,52,5,0.9230769230769231,0.7902097902097902,0.5804195804195804,1000.0,1000.0,575.9335664335664,0.0,486.60360070335764,1000.0,35.0,244.15071328671326,0.0,415.7050741883461,1
01001020901,01,1,1,1,78,6,0.919047619047619,0.7333333333333333,0.3523809523809524,1000.0,25.0,359.95952380952383,0.0,468.44948564668414,1000.0,4.0,266.7213904761905,0.0,437.9423745721187,1
01001020902,01,1,1,1,92,7,0.9594594594594594,0.7837837837837838,0.45045045045045046,1000.0,25.0,444.93468468468467,0.0,485.75828580729643,1000.0,4.0,364.8784864864865,0.0,477.8925252920814,1
01001021000,01,1,1,1,140,7,0.946843853820598,0.7574750830564784,0.26245847176079734,1000.0,25.0,277.1852757475083,0.0,431.95553507803754,1000.0,3.0,261.066219269103,0.0,437.75202058665406,1
01001021100,01,1,1,1,116,6,0.935,0.58,0.345,1000.0,25.0,355.14383999999995,0.0,469.2575241581852,1000.0,4.0,187.06516,0.0,382.0263677314233,1
01003010100,01,1,1,1,326,8,0.9215384615384615,0.696923076923077,0.563076923076923,1000.0,300.0,202.88041230769232,0.0,221.3995169967627,1000.0,30.0,56.36670769230769,0.0,193.2553601484299,1
01003010200,01,1,1,1,137,10,0.9196141479099679,0.7684887459807074,0.5016077170418006,1000.0,300.0,202.5089003215434,0.0,245.32449232162747,50.0,30.0,17.475935691318327,0.0,15.839780687500348,1
01003010300,01,1,1,1,271,9,0.9515418502202643,0.8061674008810573,0.5859030837004405,1000.0,300.0,292.2956005873715,0.0,335.5730255580644,1000.0,30.0,60.8928046989721,0.0,195.30347814423035,1
01003010400,01,1,1,1,348,9,0.8978328173374613,0.7786377708978328,0.6424148606811145,1000.0,300.0,257.607226006192,0.0,266.1839848428355,1000.0,30.0,39.88423219814241,0.0,134.40529589732822,1
01003010500,01,1,1,1,226,9,0.9704251386321626,0.7680221811460258,0.4510166358595194,1000.0,50.0,280.6532051756007,0.0,375.11483760645194,1000.0,10.0,30.677733826247685,0.0,108.5235705895687,1
01003010600,01,1,1,1,96,8,0.9483204134366925,0.7648578811369509,0.4702842377260982,1000.0,50.0,273.98518863049094,0.0,363.1107928772586,1000.0,10.0,24.17250645994832,0.0,72.77595289534679,1
01003010704,01,1,1,1,69,9,0.9142857142857143,0.7285714285714285,0.638095238095238,1000.0,300.0,324.64761904761906,0.0,368.17801383934733,1000.0,30.0,54.931466666666665,0.0,176.77288791237658,1
01003010706,01,1,1,1,51,9,0.8743455497382199,0.7277486910994765,0.581151832460733,1000.0,300.0,386.4281047120419,0.0,417.61439144236687,1000.0,30.0,133.60804188481674,0.0,313.9420233888958,1
01003010707,01,1,1,1,183,9,0.9419191919191919,0.7878787878787878,0.6439393939393939,1000.0,300.0,308.9849393939394,0.0,329.2512990923365,1000.0,30.0,44.908202020202026,0.0,146.77110337040696,1
