County,StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01001,01,1,1,17,245,13,0.8897546897546897,0.7327561327561327,0.47445887445887447,1000.0,25.0,466.63957633477634,0.0,488.0292350656963,1000.0,5.0,141.18086695526696,0.0,327.19967349485825,1
01003,01,2,1,43,503,25,0.8940184883088635,0.7375747688961392,0.4382272974442632,2000.0,40.0,287.89263012506797,0.0,390.3321152000685,2000.0,5.0,65.37997476889615,0.0,208.30907700766852,2
01005,01,2,1,9,238,12,0.8997517070142769,0.6446306641837368,0.3292985723153321,1000.0,25.0,324.4962172563625,0.0,453.79785759009377,1000.0,3.0,29.043103662321542,0.0,127.6665408488663,2
01007,01,1,1,8,234,13,0.9090350338045482,0.5703749231714813,0.08912108174554395,1000.0,25.0,82.49284572833434,0.0,235.95159107146068,1000.0,2.0,64.27725998770744,0.0,237.62644790282852,1
01009,01,2,1,16,379,11,0.9668874172185431,0.7738883632923368,0.2986439608956165,1000.0,25.0,225.0708880479344,0.0,365.5974890841077,1000.0,5.0,95.28688741721854,0.0,278.3679637275785,2
01011,01,1,1,4,224,9,0.9802414928649835,0.5916575192096597,0.059275521405049394,1000.0,25.0,65.46461909989023,0.0,181.23444940165103,1000.0,4.0,47.27967069154775,0.0,182.29023128398993,1
01013,01,1,1,9,482,12,0.8813953488372093,0.2717607973421927,0.16578073089700995,1000.0,20.0,165.43617541528238,0.0,340.93571289032195,500.0,1.0,13.088118272425248,0.0,59.831584967452386,1
01015,01,5,1,37,460,14,0.9312384473197782,0.6951735469295544,0.3638529472170877,1000.0,25.0,342.76691723146433,0.0,456.52206466838095,1000.0,4.0,58.12101753953584,0.0,197.207786394139,5
01017,01,2,1,9,466,12,0.8911491019259901,0.8346678208180047,0.5951092837048257,2000.0,1000.0,601.9559619130058,0.0,483.67355941314264,1000.0,35.0,27.239755464185244,0.0,44.09839034649047,2
01019,01,1,1,8,381,11,0.9721845318860244,0.7265943012211669,0.2503392130257802,1200.0,25.0,115.74072048846675,0.0,267.1324816799533,1000.0,5.0,11.983636363636364,0.0,46.763915657807736,1
01021,01,1,1,12,336,14,0.9392726059392726,0.6639973306639974,0.23189856523189856,1000.0,25.0,158.28016149482815,0.0,326.3982840989032,1000.0,3.0,125.17713313313314,0.0,324.48232825443745,1
01023,01,1,1,4,354,15,0.8758526603001364,0.5954979536152797,0.24488403819918145,2000.0,25.0,41.575034106412005,0.0,76.31141624946319,1000.0,5.0,18.200480218281037,0.0,55.67384950641322,1
