StateFIPS,n_school_districts,n_counties,n_tracts,n_blocks,n_ISPs,zoom_5_5_coverage_pct,fcc_25_3_coverage_pct,other_100_20_coverage_pct,max_MaxAdDown,median_MaxAdDown,mean_MaxAdDown,min_MaxAdDown,std_MaxAdDown,max_MaxAdUp,median_MaxAdUp,mean_MaxAdUp,min_MaxAdUp,std_MaxAdUp,n_LEADIDs
01,140,67,1434,975,84,0.9040694055291094,0.7077822432298975,0.4063810113992595,2000.0,25.0,387.34820482017034,0.0,493.4014038978934,2000.0,4.0,111.48743012795316,0.0,295.00523308809477,140
02,53,30,176,1343,31,0.7694302896754349,0.5550658770600927,0.3337235458844053,2000.0,25.0,417.76340375522193,0.0,767.6057913823105,1000.0,4.0,33.480798053527984,0.0,106.51449143084987,53
04,216,15,1754,2195,100,0.9138579289043336,0.6353156374394995,0.2625389169387608,5000.0,25.0,223.5714725529019,0.0,387.7876098198183,5000.0,5.0,39.02430084530695,0.0,167.64348399000514,216
05,233,75,823,1352,96,0.9301019254161702,0.7100619958716912,0.34991068391366525,10000.0,30.0,305.3408745816926,0.0,538.758186642091,10000.0,5.0,148.93451202071634,0.0,455.63345563545033,235
06,966,58,9115,2913,212,0.8561536920096803,0.6651635212693259,0.3793311170827703,10000.0,25.0,243.89283606644642,0.0,556.3284913030607,10000.0,4.0,91.7202124813614,0.0,444.71909466568735,978
08,178,64,1447,2027,133,0.9332842794332462,0.82209141182199,0.34581912159688566,10000.0,50.0,245.05342018048452,0.0,592.7620540591505,10000.0,10.0,93.4082343858174,0.0,500.9497043185758,178
09,166,8,879,372,34,0.8654375799533449,0.5055685153134171,0.30299119572578825,3000.0,25.0,278.4790024381067,0.0,453.71805930362956,3000.0,2.0,63.184729234705394,0.0,229.19007259770368,166
10,16,3,261,488,31,0.8702747845452542,0.5729762332826835,0.33802326795262894,1200.0,25.0,382.5301992970898,0.0,516.8361592073878,880.0,3.0,98.79541442705856,0.0,259.71227964805234,16
11,1,1,206,261,38,0.7748879190047802,0.6640836079688845,0.5435111784091922,10000.0,200.0,418.57069374424754,0.0,498.7420408158067,10000.0,20.0,131.1946528903536,0.0,307.0824741856614,1
12,67,67,5115,1692,116,0.8740214279420225,0.6610214296698037,0.41197818849055856,10000.0,25.0,402.4456148361113,0.0,631.0513426466827,10000.0,4.0,116.7836869243249,0.0,487.66651235081036,67
13,184,159,2791,1083,119,0.875973351515306,0.6872323681594577,0.4395311345041164,10000.0,25.0,458.15772300104504,0.0,959.4335802811372,10000.0,5.0,194.6919827441185,0.0,896.6890879844941,184
15,1,5,434,544,20,0.9264615957248824,0.578603142530508,0.42921330391088186,1000.0,25.0,433.90521894026,0.0,487.67245250505545,1000.0,3.0,80.7241506925797,0.0,169.440058011356,1
16,115,44,456,2418,73,0.9315790769769586,0.6810161078930591,0.24818249227713127,10000.0,25.0,193.15387359394538,0.0,391.1246200932968,10000.0,4.0,51.71908279955017,0.0,247.9403049452348,115
17,861,102,3263,1664,165,0.8544705863342029,0.5536779431819414,0.26377706090594627,10000.0,25.0,201.76597077789322,0.0,398.2564508972056,10000.0,3.0,45.010255236781454,0.0,195.57140315180047,862
18,290,92,1694,1110,132,0.9336793573097101,0.6063473192433559,0.2777176912655892,10000.0,25.0,232.44696574139633,0.0,413.63405795704205,10000.0,3.0,77.73071677277821,0.0,242.9705693579821,290
19,327,99,896,2171,228,0.6890959419661489,0.598882837551327,0.32658542832016146,10000.0,25.0,192.25583543507935,0.0,451.9137792327016,10000.0,3.0,113.33732244977413,0.0,397.5624120893988,327
20,286,105,829,3258,116,0.7940461023494314,0.6876735959990821,0.30813609662554436,2000.0,40.0,204.10500519264704,0.0,378.8449244399067,2000.0,8.0,110.03439963071696,0.0,295.7799095408647,286
21,179,120,1303,852,105,0.9027296632795178,0.724248198744023,0.4543413662897395,10000.0,25.0,386.20954712427533,0.0,468.12956612371386,10000.0,10.0,139.75170957167063,0.0,317.0741656457911,179
22,69,64,1377,1258,75,0.9203905689872004,0.694896627919277,0.446107238984027,10000.0,36.0,425.601167181862,0.0,916.5721196046427,10000.0,10.0,150.84337659994594,0.0,852.9701279187581,69
23,267,16,404,2756,38,0.6019176758372845,0.5150092108839429,0.17337903542415364,2000.0,25.0,156.01991572494185,0.0,344.1578506173527,2000.0,2.0,26.757952465798933,0.0,134.84511810757925,267
24,24,24,1470,780,79,0.8193294025435912,0.6496004222251106,0.4254154309098715,10000.0,25.0,439.42661617295477,0.0,573.8975493685473,10000.0,4.0,135.77745894530375,0.0,345.93278912703096,24
25,303,14,1616,663,63,0.8797408518017992,0.6836048743989652,0.519288212469042,3000.0,200.0,518.9776891729646,0.0,528.584520892719,3000.0,20.0,135.15685713788565,0.0,295.8480155600321,303
26,541,83,2987,1417,131,0.904440199143221,0.5830033576473312,0.314204006020609,3000.0,25.0,270.83368078267915,0.0,438.7000306284837,3000.0,4.0,60.9129085261086,0.0,213.6578752165815,541
